titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
Hermoso departamento de arriendo sector iñaquito,500,Pichincha,"Pichincha, Iñaquito, Quito, Ecuador",2.0,2.0,95.0,1.0,Quito
Hermosa suite de arriendo sector iñaquito,375,Pichincha,"Pichincha, Quito, Ecuador",1.0,1.0,65.0,1.0,Quito
Hermoso departamento de oportunidad de arriendo sector Republica del Salvador,650,Pichincha,"Pichincha, Av. República de El Salvador, Quito 170135, Ecuador",2.0,2.0,120.0,1.0,Quito
Hermoso departamento de arriendo de 240 metros Ponceano alto 3 dormitorios $560,560,Pichincha,"Pichincha, Albert Einstein, Quito, Ecuador",3.0,3.0,240.0,2.0,Quito
Hermoso departamento de arriendo de oportunidad en la urbanizacion El Condado,580,Pichincha,"Pichincha, Urbanización El Condado, Calle C, Quito, Ecuador",3.0,4.0,128.0,2.0,Quito
Hermosa suite de arriendo de oportunidad sector Quito Tenis,460,Pichincha,"Pichincha, Quito Tenis, Quito, Ecuador",1.0,1.0,58.0,1.0,Quito
Hermoso departamento en renta sector Quito Tenis,435,Pichincha,"Pichincha, Quito Tenis, Quito 170104, Ecuador",2.0,2.0,98.0,1.0,Quito
Hermoso departamento de arriendo en la Urb. El condado,750,Pichincha,"Pichincha, VGW2+Q5J, Quito 170134, Ecuador",3.0,3.0,190.0,1.0,Quito
Hermosa suite amoblada de arriendo sector Quito Tenis,570,Pichincha,"Pichincha, Quito Tenis, Quito 170104, Ecuador",1.0,1.0,61.0,1.0,Quito
Hermoso departamento en renta/venta sector Quito Tenis,1800,Pichincha,"Pichincha, Quito Tenis, Quito 170104, Ecuador",4.0,3.0,380.0,3.0,Quito
Hermosa suite de arriendo de oportunidad sector Quito Tenis,500,Pichincha,"Pichincha, Quito Tenis, Quito 170104, Ecuador",1.0,1.0,70.0,1.0,Quito
Hermoso departamento de arriendo sector Santa Lucía dos dormitorios de oportunidad,360,Pichincha,"Pichincha, Santa Lucia, Quito, Ecuador",2.0,2.0,105.0,1.0,Quito
Hermoso departamento de arriendo sector Catolica 3 dormitorios de oportunidad,560,Pichincha,"Pichincha, Católica, Quito, Ecuador",3.0,3.0,120.0,1.0,Quito
Hermoso departamento de arriendo duplex ponceano alto,450,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",3.0,3.0,130.0,1.0,Quito
Hermosa casa de arriendo de oportunidad sector Santa Lucía 3 dormitorios,550,Pichincha,"Pichincha, Santa Lucia, Quito, Ecuador",3.0,3.0,140.0,2.0,Quito
Hermoso departamento de arriendo de oportunidad 3 dormitorios Ponceano alto,400,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",3.0,2.0,105.0,1.0,Quito
Hermoso departamento de arriendo de oportunidad sector Monteserrin 2 dormitorios,400,Pichincha,"Pichincha, Monteserrin, Quito, Ecuador",2.0,2.0,90.0,1.0,Quito
Casa en renta con patio! Casa de arriendo Pomasqui 3 dormitorios 2 plantas,400,Pichincha,"Pichincha, Pomasqui, Quito, Ecuador",3.0,3.0,100.0,2.0,Quito
Hermosa casa de arriendo sector Ponceano colegio Einstein,600,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",4.0,3.0,130.0,2.0,Quito
Hermoso departamento de arriendo sector Carolina Alianza Francesa,550,Pichincha,"Pichincha, La Carolina, Quito, Ecuador",3.0,2.0,110.0,1.0,Quito
Hermoso departamento de arriendo de oportunidad sector Quicentro Megamaxi,500,Pichincha,"Pichincha, Quicentro Shopping, Avenida de los Shyris, Quito, Ecuador",2.0,2.0,100.0,1.0,Quito
Hermoso departamento de arriendo amoblado González Suárez,600,Pichincha,"Pichincha, Gonzalez Suarez, Quito, Ecuador",2.0,3.0,90.0,1.0,Quito
